country_name,year,population
Costa Rica,2020,"5,094,118"
Paraguay,2020,"7,132,538"
Hong Kong,2020,"7,496,981"
Sierra Leone,2020,"7,976,983"
Togo,2020,"8,278,724"
Lebanon,2020,"6,825,445"
Laos,2020,"7,275,560"
Switzerland,2020,"8,654,622"
Israel,2020,"8,655,535"
Serbia,2020,"8,737,371"
Austria,2020,"9,006,398"
Belarus,2020,"9,449,323"
Honduras,2020,"9,904,607"
Sweden,2020,"10,099,265"
Hungary,2020,"9,660,351"
United Arab Emirates,2020,"9,890,402"
Azerbaijan,2020,"10,139,177"
Portugal,2020,"10,196,709"
Jordan,2020,"10,203,134"
Czech Republic (Czechia),2020,"10,708,981"
Dominican Republic,2020,"10,847,910"
South Sudan,2020,"11,193,725"
Greece,2020,"10,423,054"
Haiti,2020,"11,402,528"
Cuba,2020,"11,326,616"
Belgium,2020,"11,589,623"
Tunisia,2020,"11,818,619"
Papua New Guinea,2020,"8,947,024"
Bolivia,2020,"11,673,021"
Burundi,2020,"11,890,784"
Tajikistan,2020,"9,537,645"
Rwanda,2020,"12,952,218"
Guinea,2020,"13,132,795"
Zimbabwe,2020,"14,862,924"
Benin,2020,"12,123,200"
Somalia,2020,"15,893,222"
Cambodia,2020,"16,718,965"
Chad,2020,"16,425,864"
Senegal,2020,"16,743,927"
Netherlands,2020,"17,134,872"
Syria,2020,"17,500,658"
Ecuador,2020,"17,643,054"
Guatemala,2020,"17,915,568"
Kazakhstan,2020,"18,776,707"
Chile,2020,"19,116,201"
Zambia,2020,"18,383,955"
Malawi,2020,"19,129,952"
Mali,2020,"20,250,833"
Burkina Faso,2020,"20,903,273"
Sri Lanka,2020,"21,413,249"
Taiwan,2020,"23,816,775"
Niger,2020,"24,206,644"
Romania,2020,"19,237,691"
Australia,2020,"25,499,884"
North Korea,2020,"25,778,816"
Nepal,2020,"29,136,808"
Yemen,2020,"29,825,964"
Ghana,2020,"31,072,940"
Mozambique,2020,"31,255,435"
Venezuela,2020,"28,435,940"
Madagascar,2020,"27,691,018"
Malaysia,2020,"32,365,999"
Angola,2020,"32,866,272"
Côte d'Ivoire,2020,"26,378,274"
Cameroon,2020,"26,545,863"
Peru,2020,"32,971,854"
Uzbekistan,2020,"33,469,203"
Saudi Arabia,2020,"34,813,871"
Morocco,2020,"36,910,560"
Canada,2020,"37,742,154"
Poland,2020,"37,846,611"
Germany,2020,"83,783,942"
Iran,2020,"83,992,949"
Turkey,2020,"84,339,067"
DR Congo,2020,"89,561,403"
Vietnam,2020,"97,338,579"
Egypt,2020,"102,334,404"
Philippines,2020,"109,581,078"
Ethiopia,2020,"114,963,588"
Japan,2020,"126,476,461"
Mexico,2020,"128,932,753"
Russia,2020,"145,934,462"
Nigeria,2020,"206,139,589"
Indonesia,2020,"273,523,615"
United States,2020,"331,002,651"
Brazil,2020,"212,559,417"
Iraq,2020,"40,222,493"
Pakistan,2020,"220,892,340"
Bangladesh,2020,"164,689,383"
Ukraine,2020,"43,733,762"
Thailand,2020,"69,799,978"
Afghanistan,2020,"38,928,346"
